| Configuration: Fuel Internal - N2O External | | | | | | | | | | Configuration: N2O Internal - Fuel External | | | | | | | | |
| ------------------------------------------- | --------- | ---- | ---------- | ----------- | --------- | ------ | --------------------- | ----------------- | ------------ | ------------------------------------------- | | | ------------- | --------- | ---- | ---------- | ----------- | ------------------ |
| | | | | | | | | | | | | | | | | | | | | | | | | |
| Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | | | Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | |
| 0,50 mm | 0.19635 | 4 | 19 | 76 | 0.4583 | 1.56% | 18.95 | 3.270 | 11.40 | 0.59 | | | 0,50 mm | 0.1963495 | 4 | 58 | 232 | 1.3343 | 1.18% | 6.21 | 0.735 | 11.40 | 0.21 | |
| 0,50 mm | 0.19635 | 4 | 19 | 76 | 0.4583 | 1.56% | 18.95 | 3.689 | 12.67 | 0.53 | | | 0,50 mm | 0.1963495 | 4 | 58 | 232 | 1.3343 | 1.18% | 6.21 | 0.872 | 12.67 | 0.19 | |
| 0,50 mm | 0.19635 | 5 | 15 | 75 | 0.4523 | 2.85% | 24.00 | 2.683 | 7.60 | 0.86 | | | 0,50 mm | 0.1963495 | 5 | 46 | 230 | 1.3228 | 2.03% | 7.83 | 0.538 | 7.60 | 0.31 | |
| 0,50 mm | 0.19635 | 5 | 15 | 75 | 0.4523 | 2.85% | 24.00 | 3.214 | 8.87 | 0.75 | | | 0,50 mm | 0.1963495 | 5 | 46 | 230 | 1.3228 | 2.03% | 7.83 | 0.711 | 8.87 | 0.27 | |
| 0,50 mm | 0.19635 | 5 | 15 | 75 | 0.4523 | 2.85% | 24.00 | 3.745 | 10.13 | 0.66 | | | 0,50 mm | 0.1963495 | 5 | 46 | 230 | 1.3228 | 2.03% | 7.83 | 0.884 | 10.13 | 0.24 | |
| 0,50 mm | 0.19635 | 5 | 15 | 75 | 0.4523 | 2.85% | 24.00 | 4.275 | 11.40 | 0.59 | | | 0,50 mm | 0.1963495 | 5 | 46 | 230 | 1.3228 | 2.03% | 7.83 | 1.057 | 11.40 | 0.21 | |
| 0,50 mm | 0.19635 | 5 | 15 | 75 | 0.4523 | 2.85% | 24.00 | 4.806 | 12.67 | 0.53 | | | 0,50 mm | 0.1963495 | 5 | 46 | 230 | 1.3228 | 2.03% | 7.83 | 1.230 | 12.67 | 0.19 | |
| | | | | | | | | | | | | | | | | | | | | | | | | |
| | | | | | | | | | | | | | | | | | | | | | | | | |
| Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | | | Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | |
| 0,60 mm | 0.282743 | 1 | 53 | 53 | 0.4603 | 1.14% | 6.79 | 0.301 | 7.60 | 0.86 | | | 0,60 mm | 0.2827433 | 1 | 163 | 163 | 1.3499 | 0.02% | 2.21 | \-0.307 | 7.60 | 0.31 | |
| 0,60 mm | 0.282743 | 1 | 53 | 53 | 0.4603 | 1.14% | 6.79 | 0.451 | 8.87 | 0.75 | | | 0,60 mm | 0.2827433 | 1 | 163 | 163 | 1.3499 | 0.02% | 2.21 | \-0.258 | 8.87 | 0.27 | |
| 0,60 mm | 0.282743 | 1 | 53 | 53 | 0.4603 | 1.14% | 6.79 | 0.601 | 10.13 | 0.66 | | | 0,60 mm | 0.2827433 | 1 | 163 | 163 | 1.3499 | 0.02% | 2.21 | \-0.209 | 10.13 | 0.24 | |
| 0,60 mm | 0.282743 | 1 | 53 | 53 | 0.4603 | 1.14% | 6.79 | 0.751 | 11.40 | 0.59 | | | 0,60 mm | 0.2827433 | 1 | 163 | 163 | 1.3499 | 0.02% | 2.21 | \-0.161 | 11.40 | 0.21 | |
| 0,60 mm | 0.282743 | 1 | 53 | 53 | 0.4603 | 1.14% | 6.79 | 0.902 | 12.67 | 0.53 | | | 0,60 mm | 0.2827433 | 1 | 163 | 163 | 1.3499 | 0.02% | 2.21 | \-0.112 | 12.67 | 0.19 | |
| 0,60 mm | 0.282743 | 2 | 26 | 52 | 0.4516 | 3.01% | 13.85 | 1.237 | 7.60 | 0.86 | | | 0,60 mm | 0.2827433 | 2 | 81 | 162 | 1.3416 | 0.63% | 4.44 | \-0.010 | 7.60 | 0.31 | |
| 0,60 mm | 0.282743 | 2 | 26 | 52 | 0.4516 | 3.01% | 13.85 | 1.543 | 8.87 | 0.75 | | | 0,60 mm | 0.2827433 | 2 | 81 | 162 | 1.3416 | 0.63% | 4.44 | 0.088 | 8.87 | 0.27 | |
| 0,60 mm | 0.282743 | 2 | 26 | 52 | 0.4516 | 3.01% | 13.85 | 1.849 | 10.13 | 0.66 | | | 0,60 mm | 0.2827433 | 2 | 81 | 162 | 1.3416 | 0.63% | 4.44 | 0.186 | 10.13 | 0.24 | |
| 0,60 mm | 0.282743 | 2 | 26 | 52 | 0.4516 | 3.01% | 13.85 | 2.155 | 11.40 | 0.59 | | | 0,60 mm | 0.2827433 | 2 | 81 | 162 | 1.3416 | 0.63% | 4.44 | 0.284 | 11.40 | 0.21 | |
| 0,60 mm | 0.282743 | 2 | 26 | 52 | 0.4516 | 3.01% | 13.85 | 2.461 | 12.67 | 0.53 | | | 0,60 mm | 0.2827433 | 2 | 81 | 162 | 1.3416 | 0.63% | 4.44 | 0.383 | 12.67 | 0.19 | |
